email	condition	nballs	nbins	binint	binprob	slider	time	order	nresponsebin
DD1E3A11AE37BA7D	paintdrag100	100	20	1	"1,1,1,1,2,3,6,9,11,12,12,11,9,6,3,2,1,1,1,1"	26	115.779	2	20
14370A173ECA82CA	paintdrag100	100	20	1	"1,1,1,1,1,2,4,7,11,14,14,11,7,4,2,1,1,1,1,1"	40	66.305	4	20
E5EABE50B37DFAE8	paintdrag100	100	20	1	"1,2,3,4,5,6,7,8,9,10,9,8,7,6,5,4,3,2,1,0"	51	338.028	6	20
F7C3960957180867	paintdrag100	100	20	1	"0,0,0,0,1,1,3,9,12,15,16,15,13,9,3,2,1,0,0,0"	100	65.711	4	20
47DED75376B3A12D	paintdrag100	100	20	1	"1,1,1,2,4,5,7,8,9,10,11,10,10,8,5,3,2,1,1,1"	81	56.955	6	20
47DED75376B3A12D	addclick50	50	10	2	"2,2,4,10,18,30,20,8,4,2"	0	67.705	2	10
A90A19B864E757DD	addclick50	50	10	2	"2,4,6,16,22,22,16,6,4,2"	73	51.434	4	10
1F973EF4D9F8E10F	addclick50	50	10	2	"2,4,8,14,22,22,14,8,4,2"	20	78.689	4	10
F0EFC9A48942C343	addclick50	50	10	2	"0,2,4,14,22,20,24,12,2,0"	50	67.014	2	10
CDC4B4AEDDEAC3C6	addclick50	50	10	2	"0,0,0,0,2,0,0,0,0,0"	3	6.049	2	10
FE1405E199C647FB	addclick50	50	10	2	"0,2,6,14,28,28,14,6,2,0"	55	79.696	2	10
3B0F5E110BDF2F19	addclick50	50	10	2	"0,0,0,12,24,28,24,12,0,0"	0	57.803	6	10
482A3DF70AED5BB9	addclick50	50	10	2	"2,2,4,16,26,26,16,4,2,2"	89	188.085	2	10
33024688749CB540	addclick50	50	10	2	"2,2,6,14,26,26,14,6,2,2"	78	701.163	2	10
87F02522502BC4F9	addclick50	50	10	2	"0,0,6,16,28,28,16,6,0,0"	33	44.671	2	10
14370A173ECA82CA	addclick50	50	10	2	"2,2,2,10,18,28,18,10,2,2"	0	39.956	6	10
6230CDEA914F7DD3	addclick50	50	10	2	"0,0,0,20,30,30,20,0,0,0"	12	26.485	6	10
0ED6C8DFFBA16774	addclick50	50	10	2	"2,4,8,14,22,22,14,8,4,2"	0	74.423	2	10
D7E1D296F63F84E8	addclick50	50	10	2	"2,2,4,14,28,28,14,4,2,2"	100	76.652	2	10
B20449427763C0D4	addclick50	50	10	2	"2,4,6,14,24,24,14,6,4,2"	19	73.796	4	10
0D0419BB9C5ACD71	addclick50	50	10	2	"2,2,4,14,28,28,14,4,2,2"	71	86.219	2	10
47DED75376B3A12D	pullup20	20	10	2	"0,0,5,15,20,35,20,5,0,0"	87	65.424	3	10
1F973EF4D9F8E10F	pullup20	20	10	2	"0,5,5,15,25,25,15,5,5,0"	77	173.768	1	10
