email	condition	nballs	nbins	binint	binprob	slider	time	order	nresponsebin
F50101555758A11A	paintdragtop20	20	10	2	"5,5,5,10,25,25,10,5,5,5"	22	106.169	5	10
3B2BEA628FF2AB21	paintdragtop20	20	10	2	"5,5,10,10,20,20,10,10,5,5"	0	23.731	5	10
F3647F4B4D24F2C1	paintdragtop20	20	10	2	"5,5,5,10,5,5,5,10,5,5"	34	19.597	5	10
15D9341F62398EA7	paintdragtop20	20	10	2	"0,5,10,20,25,20,15,5,0,0"	80	69.949	5	10
73846C4EE9DF2DE0	paintdragtop20	20	10	2	"5,5,5,15,5,5,5,15,5,5"	79	42.87	5	10
B254EDE86152606A	paintdragtop20	20	10	2	"0,0,5,5,35,40,5,5,0,0"	39	41.225	5	10
FCD63FE69094F473	paintdragtop20	20	10	2	"5,5,10,25,5,5,25,10,5,5"	17	94.71	5	10
D530A3859DA21207	paintdragtop20	20	10	2	"0,5,5,10,30,30,10,5,5,0"	9	70.475	5	10
4D54F04A1858B7B1	paintdragtop20	20	10	2	"5,5,5,10,15,25,15,10,5,5"	18	61.877	5	10
E673DB302DE3FAE7	pullup20	20	10	2	"0,0,5,10,20,30,20,10,5,0"	0	78.835	NA	10
25711D2DDED8D447	pullup20	20	10	2	"5,5,10,10,15,20,15,10,5,5"	62	127.318	NA	10
7C1B33341CE7A1EF	pullup20	20	10	2	"0,5,5,10,20,25,20,10,5,0"	67	99.042	3	10
9EC114F18BE85650	pullup20	20	10	2	"5,5,10,10,20,20,10,10,5,5"	0	28.654	5	10
266CFED8CE95C948	pullup20	20	10	2	"0,0,5,15,30,30,15,5,0,0"	29	60.228	3	10
183B5509F5ED042A	pullup20	20	10	2	"0,5,5,10,15,30,15,10,5,5"	30	250.281	1	10
6F3D5655E64D51C9	pullup20	20	10	2	"5,5,5,15,20,20,15,5,5,5"	50	49.232	5	10
D72D8D4E0C1C8E32	pullup20	20	10	2	"0,0,5,10,20,30,20,10,5,0"	8	56.743	3	10
D41BB0528F9CEA36	pullup20	20	10	2	"0,0,5,15,30,30,15,5,0,0"	73	53.679	3	10
61C705C97D7A9271	pullup20	20	10	2	"0,0,5,15,30,30,15,5,0,0"	16	62.906	3	10
F04EB958F2394B86	pullup20	20	10	2	"5,5,10,15,25,15,10,5,5,5"	88	73.176	3	10
BC77D9954D9731A8	pullup20	20	10	2	"0,0,5,15,30,30,15,5,0,0"	89	47.277	3	10
45385A9A6D7922E5	pullup20	20	10	2	"5,5,5,10,15,25,15,10,5,5"	37	47.604	3	10
0248D5692056A630	pullup20	20	10	2	"5,5,5,10,15,25,15,10,5,5"	18	43.539	3	10
F3E9B51A6B1E3D3B	pullup20	20	10	2	"0,5,10,15,20,25,15,5,5,0"	13	40.503	3	10
612E34B7B2F1EC39	pullup20	20	10	2	"5,5,5,10,25,25,10,5,5,5"	62	63.392	3	10
D39C7DA84DB3E471	pullup20	20	10	2	"5,5,5,10,15,25,15,10,5,5"	44	99.577	5	10
C0E68C4C4DF1ABF6	pullup20	20	10	2	"0,5,10,15,20,20,15,10,5,0"	74	44.505	3	10
F4AF810FDD940945	pullup20	20	10	2	"0,5,5,5,20,30,20,5,5,5"	94	129.719	3	10
