workerId	condition	nballs	nbins	binint	binx	binprob	sumTo100	dist_vals	task
whv06mhyegsdqm2bs39i6yldinzacx9ozyovgun4mlkq0yhkt9	rd_np		10	50	NA	"0,0,0,5,45,45,5,0,0,0"	1	175_225_225_225_225_225_225_225_225_225_275_275_275_275_275_275_275_275_275_325	recall
p9j0tas2di5lhxvfw3bfyldi7q45c9zombm9cbm8ptxjb2csor	rd_np		10	50	NA	"0,5,5,10,25,25,15,10,5,0"	1	75_125_175_175_225_225_225_225_225_275_275_275_275_275_325_325_325_375_375_425	recall
6m2wef91l1slps0dmh453tyb99r4hm38njo6hxytshpahy3nmi	rd_np		10	50	NA	"0,0,5,5,40,40,5,5,0,0"	1	125_175_225_225_225_225_225_225_225_225_275_275_275_275_275_275_275_275_325_375	recall
ykkx0ssee3lvfzoosnz8h0k9f3d8qf0urarb1apctxpmish5mi	rd_np		10	50	NA	"5,5,5,5,30,30,5,5,5,5"	1	25_75_125_175_225_225_225_225_225_225_275_275_275_275_275_275_325_375_425_475	recall
l90drreecp20wuvsq8vsd1jor2t1ihycn2ojd1nhd73gv0wwmi	rd_np		10	50	NA	"0,0,0,30,40,30,0,0,0,0"	1	175_175_175_175_175_175_225_225_225_225_225_225_225_225_275_275_275_275_275_275	recall
peculav9snufab1z2xi27qfr92j1zwrdvwwiwpdm99f869a4i	rd_np		10	50	NA	"0,5,5,10,30,30,10,5,5,0"	1	75_125_175_175_225_225_225_225_225_225_275_275_275_275_275_275_325_325_375_425	recall
3t79t42hzdle4l9hb2p5zmpldix7przsfnvohialqcl6ktvs4i	rd_np		10	50	NA	"0,0,0,10,15,50,15,10,0,0"	1	175_175_225_225_225_275_275_275_275_275_275_275_275_275_275_325_325_325_375_375	recall
0dsl92h08ugdx2lbl278a7nwmirqbbp99vdi7fx8fwnbut8olxr	rc_np	NA	10	2	28.37837837835_77.8093883356763_150.213371265953_171.266002844929_200.426742532005_284.992887624432_349.288762446608_385.206258890434_399.50213371266_478.662873399687	"12,12,12,5,54,226,54,6,12,12"	NA	NA	recall
f4rpn68x0z1bfdhge7cbfyldiy47st1ywwjvlmw9nb0gt4kj4i	rc_np	NA	10	2	28.37837837835_77.8093883356763_129.943100995703_194.238975817879_249.075391180605_256.614509246082_300.640113798008_377.098150782334_427.88051209101_478.662873399687	"12,12,9,12,268,209,11,12,12,12"	NA	NA	recall
0aj7ru0n29fcglancpghh93soryo45eqfz0cn32spbwg5h4cxr	rc_np	NA	10	2	28.37837837835_77.8093883356763_128.591749644353_149.644381223329_235.561877667105_280.938833570382_350.640113797958_378.449502133684_427.88051209101_478.662873399687	"12,12,12,12,403,392,12,12,12,12"	NA	NA	recall
skosqrtwuoccq7g4ou0e019k9k5smb134778jehxl82r9t3xr	rc_np	NA	10	2	25.67567567565_66.9985775248763_150.213371265953_199.644381223279_228.805120910355_295.803698435232_315.504978662858_350.071123755334_399.50213371266_469.203413940237	"8,1,17,92,223,223,90,15,0,6"	NA	NA	recall
kpr6krj3yamzki7yi4sglow29ruj9irlx192f8xctpkw8hyqfr	rc_np	NA	10	2	28.37837837835_77.8093883356763_115.078236130853_178.022759601679_228.805120910355_279.587482219032_329.018492176358_378.449502133684_427.88051209101_478.662873399687	"12,12,289,12,12,12,12,12,12,12"	NA	NA	recall
lm9e0jx8873fzq9zxsj68ncdi6jyavx9f1c30679jwioyfogvi	rc_np	NA	10	2	28.37837837835_77.8093883356763_128.591749644353_178.022759601679_228.805120910355_279.587482219032_350.640113797958_378.449502133684_427.88051209101_478.662873399687	"12,12,12,12,12,12,35,12,12,12"	NA	NA	recall
2jbf0f18akktbvdxg5dqme7b9zu5280vr7orq0kqbyc1tyy14i	rc_np	NA	10	2	28.37837837835_60.2418207681263_138.051209103803_199.644381223279_234.210526315755_251.209103840682_300.640113798008_360.881934566134_437.33997155046_478.662873399687	"12,1,42,142,245,247,143,54,1,12"	NA	NA	recall
yu9xo4l8j4srsre2t6f3fecdigm907g0x9b42g6r98dhuayvi	rc_np	NA	10	2	0_54.8364153627263_111.024182076803_159.103840682779_213.940256045505_264.722617354182_311.450924608808_354.125177809384_399.50213371266_450.284495021337	"12,9,29,66.9999694824219,104.999969482422,104.999969482422,68.9999694824219,32,15,2"	NA	NA	recall
o9j5xrcnd024olo298mr0ms4iiaai9pxcsq56ajnesn4z8semi	rc_np	NA	10	2	28.37837837835_77.8093883356763_150.213371265953_199.644381223279_228.805120910355_257.965860597432_300.640113798008_350.071123755334_427.88051209101_478.662873399687	"12,12,12,143,450,451,145,12,12,12"	NA	NA	recall
